open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712268000000,0.177760,0.179200,0.176760,0.178280,201138050,1712271599999,35798787.607220,66094,103209729,18372321.570040,0
1712271600000,0.178270,0.180210,0.178020,0.180060,158243301,1712275199999,28368103.428550,63741,83768884,15017286.234710,0
1712275200000,0.180060,0.180960,0.178140,0.180040,187711752,1712278799999,33658849.005990,82069,87603760,15710700.280220,0
1712278800000,0.180040,0.180060,0.176210,0.178200,256904953,1712282399999,45733268.954500,99710,129471140,23051104.268150,0
1712282400000,0.178190,0.178390,0.174070,0.175310,371670786,1712285999999,65327320.243430,137450,163346790,28716956.847910,0
1712286000000,0.175310,0.177430,0.175020,0.176920,213890887,1712289599999,37768359.992810,78102,104117290,18383239.935430,0
1712289600000,0.176920,0.177430,0.173690,0.174310,300195541,1712293199999,52617261.853220,86709,142984466,25078727.723540,0
1712293200000,0.174300,0.174970,0.171300,0.173370,421968423,1712296799999,72846903.698990,134444,203574775,35152715.821620,0
1712296800000,0.173360,0.174600,0.172760,0.174030,171925648,1712300399999,29877900.088900,65214,89353910,15529679.863250,0
1712300400000,0.174020,0.174650,0.172030,0.174320,214623417,1712303999999,37190765.649820,68120,101177178,17542728.774530,0
1712304000000,0.174310,0.176540,0.173370,0.173670,292253489,1712307599999,51137730.561470,98635,143941068,25193056.050890,0
1712307600000,0.173670,0.173770,0.169010,0.171870,541051190,1712311199999,92489613.620830,168651,240160210,41065286.703260,0
1712311200000,0.171870,0.172560,0.169830,0.172450,284157846,1712314799999,48741291.201210,104336,142794524,24495257.570640,0
1712314800000,0.172450,0.172780,0.168510,0.169180,289218954,1712318399999,49368519.627870,103854,126851210,21662845.869060,0
1712318400000,0.169180,0.172200,0.167490,0.172030,668975500,1712321999999,113537719.212910,206753,329548449,55940049.387650,0
1712322000000,0.172030,0.175000,0.169700,0.173810,491145828,1712325599999,84776745.727680,151653,251849952,43477428.621280,0
1712325600000,0.173800,0.176390,0.172640,0.175020,448849515,1712329199999,78352371.395620,136372,220075242,38419391.963760,0
1712329200000,0.175020,0.176950,0.173530,0.176470,335250565,1712332799999,58730148.541490,109048,179488051,31452769.513550,0
1712332800000,0.176460,0.177420,0.174810,0.175830,273368620,1712336399999,48126613.724350,98567,130861935,23040530.396960,0
1712336400000,0.175820,0.176000,0.174060,0.174540,215709878,1712339999999,37723284.107960,69429,95886820,16765112.423580,0
1712340000000,0.174540,0.177170,0.174000,0.176640,212837034,1712343599999,37376165.664950,77893,112255200,19715360.616180,0
1712343600000,0.176630,0.179270,0.176590,0.176820,337327237,1712347199999,60024544.828460,113970,186591058,33210050.424680,0
1712347200000,0.176820,0.179980,0.176730,0.178800,212860371,1712350799999,38056945.643490,82001,112466727,20101147.958570,0
1712350800000,0.178800,0.179330,0.177350,0.177400,143622026,1712354399999,25618022.462340,61296,57790173,10310177.473400,0
1712354400000,0.177390,0.178520,0.177100,0.177400,132387848,1712357999999,23524674.142600,55605,67222850,11946899.240140,0
1712358000000,0.177400,0.178410,0.177030,0.177330,94276636,1712361599999,16763389.115890,44780,43762976,7782991.558830,0
1712361600000,0.177330,0.180570,0.176530,0.179410,275111612,1712365199999,49178707.737580,98869,139789118,24990213.309410,0
1712365200000,0.179410,0.180520,0.178190,0.178640,208207771,1712368799999,37309928.879440,81244,95662934,17143234.780480,0
1712368800000,0.178640,0.180630,0.177160,0.180330,233491504,1712372399999,41701750.882930,86050,124266337,22197787.418340,0
1712372400000,0.180330,0.182030,0.179300,0.180980,353260232,1712375999999,63752089.012510,107144,171102621,30879747.629190,0
1712376000000,0.180980,0.182200,0.180260,0.181000,224670427,1712379599999,40688699.224360,69676,113772867,20605173.735310,0
1712379600000,0.180990,0.182690,0.180570,0.182210,216100898,1712383199999,39316041.967600,80981,111797318,20340042.302480,0
1712383200000,0.182180,0.185460,0.181260,0.184420,294570607,1712386799999,53985949.965610,105150,164503485,30157764.036820,0
1712386800000,0.184410,0.185730,0.182710,0.184550,294266458,1712390399999,54202841.249370,101434,154640016,28487570.480050,0
1712390400000,0.184550,0.185500,0.183850,0.185060,234095346,1712393999999,43229368.175820,76948,118220848,21832328.290220,0
